epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.352,2.19494,3.04181,1.98006,0.33678,0.33106,0.25725,0.08624,2.23066,3.10423,2.31496,0.000475979,0.000475979,0.000475979
2,254.236,2.16131,2.47572,2.01626,0.27923,0.33681,0.22454,0.07323,2.20656,2.77037,2.29963,0.000942884,0.000942884,0.000942884
3,377.828,2.11586,2.31175,1.96969,0.40295,0.43211,0.35435,0.12354,2.14565,2.36726,2.19453,0.00140036,0.00140036,0.00140036
4,495.43,2.08443,2.21448,1.9501,0.39928,0.43749,0.36981,0.13654,2.05172,2.13079,2.12488,0.00138656,0.00138656,0.00138656
5,617.188,2.04352,2.12767,1.91566,0.40397,0.50061,0.41594,0.14536,2.03069,2.11881,2.09554,0.00137241,0.00137241,0.00137241
6,742.653,2.00654,2.04839,1.8984,0.45575,0.51379,0.47081,0.17299,2.00155,2.06637,2.09075,0.00135826,0.00135826,0.00135826
7,857.9,1.98377,2.0231,1.87773,0.48689,0.5218,0.49028,0.18407,1.97101,1.97479,2.02501,0.00134412,0.00134412,0.00134412
8,978.785,1.96901,1.94391,1.84655,0.46638,0.53228,0.48186,0.1969,1.93955,1.8688,2.01167,0.00132997,0.00132997,0.00132997
9,1105.35,1.94705,1.89764,1.82489,0.53,0.55534,0.5226,0.22156,1.96421,1.82137,2.01011,0.00131582,0.00131582,0.00131582
10,1226.56,1.92362,1.85962,1.81613,0.57881,0.57798,0.58953,0.24711,1.87859,1.79499,1.91036,0.00130168,0.00130168,0.00130168
11,1347.98,1.91665,1.83262,1.79879,0.59056,0.59847,0.56532,0.23538,1.87559,1.72353,1.92489,0.00128753,0.00128753,0.00128753
12,1468.12,1.89045,1.79479,1.7844,0.57214,0.57202,0.57945,0.23944,1.86708,1.68548,1.91112,0.00127338,0.00127338,0.00127338
13,1589.74,1.88638,1.76171,1.77974,0.59191,0.59172,0.60083,0.25223,1.85415,1.703,1.90539,0.00125923,0.00125923,0.00125923
14,1716.78,1.86771,1.71418,1.76072,0.66728,0.61374,0.65909,0.30072,1.79523,1.55051,1.84553,0.00124509,0.00124509,0.00124509
15,1845.62,1.84976,1.70079,1.746,0.65679,0.6276,0.68217,0.30808,1.81263,1.51448,1.85527,0.00123094,0.00123094,0.00123094
16,1970.53,1.8347,1.68241,1.74148,0.68115,0.66879,0.69561,0.31738,1.80494,1.45907,1.84717,0.00121679,0.00121679,0.00121679
17,2093.51,1.82297,1.63835,1.72435,0.67649,0.66983,0.70559,0.31589,1.8084,1.48357,1.84331,0.00120265,0.00120265,0.00120265
18,2216.87,1.825,1.62329,1.73197,0.64371,0.65136,0.67835,0.318,1.75802,1.4173,1.81152,0.0011885,0.0011885,0.0011885
19,2340.94,1.81105,1.57976,1.70623,0.72493,0.67225,0.73628,0.34715,1.72456,1.37154,1.79317,0.00117435,0.00117435,0.00117435
20,2468.73,1.79574,1.58018,1.71095,0.68954,0.70325,0.73118,0.32214,1.78494,1.40672,1.83071,0.00116021,0.00116021,0.00116021
21,2590.37,1.78769,1.54481,1.70449,0.70077,0.69459,0.7405,0.35012,1.73586,1.32949,1.78979,0.00114606,0.00114606,0.00114606
22,2717.95,1.76682,1.52044,1.68498,0.72741,0.72409,0.77266,0.38601,1.68393,1.29675,1.74371,0.00113191,0.00113191,0.00113191
23,2846.43,1.75242,1.50909,1.68029,0.77989,0.72727,0.7917,0.4055,1.66341,1.26546,1.73626,0.00111776,0.00111776,0.00111776
24,2967.15,1.75845,1.47067,1.66924,0.76583,0.72138,0.7771,0.37613,1.73225,1.25701,1.76893,0.00110362,0.00110362,0.00110362
25,3091.02,1.75642,1.46761,1.65968,0.79299,0.76083,0.81839,0.42312,1.63211,1.19525,1.69712,0.00108947,0.00108947,0.00108947
26,3218.07,1.7358,1.43996,1.65041,0.81284,0.73625,0.82068,0.42403,1.60914,1.18372,1.67803,0.00107532,0.00107532,0.00107532
